"Id";"identite";"Nom";"Surnom";"Diminutif";"Occupation";"Titre";"Sexe";"VilleDomicile";"VilleOrigine";"Remarques";"Rattachement";"MaJ_occupations"
2529;"Henri de Filongue";"Henri de Filongue";;;"Inconnue";;"M";;;;;1
2530;"Solliard de la cuisine d'Amédée 7 ou 8";;;;"Inconnue";"solliard";"M";;;;"7";1
2531;"Pierre de Bariere";"Pierre de Bariere";;;"Inconnue";;"M";;;;;1
2533;"Françoise de Cullis franciscaine";"Françoise Cullis";;;"Inconnue";"religieux";"F";"Chambéry";;;;1
2534;"Eustache frére";"Eustache";;;"Inconnue";"religieux";"M";;;;;1
2535;"femme de Bertholet Rate nourice  jeanne de Savoie";;;;"Inconnue";"nourice";"F";"Chambéry";;"sans doute déjà dans la base";"jeanne de savoie";1
2537;"Aubertin de Bosc drapier de Chambéry";"Aubertin de Bosc";;;"Inconnue";"drapier";"M";"Chambéry";;;;1
2538;"femme de François de Seravale";;;;"Inconnue";;"F";;;;"François de Seraval";1
2539;"Eynard fils de la Gandra";"Eynard";;;"Inconnue";"tondeur";"M";;;;;1
2540;"Fumous le tondeur";"Fumous";;;"Inconnue";"tondeur";"M";;;;;1
2541;"Colin de la Vigile de Saint Simond";"Colin la Vigile de Saint simond";;;"Inconnue";;"M";;;;;1
2542;"Johan Parvane maîre des comptes";"Johan Parvane";;;"Inconnue";"maître des comptes d'Amédée VI";"M";;;;;1
2543;"Bonne Days femme du dit Gallois";"Bonne Days";;;"Inconnue";;"F";;;;;1
2544;"Anequin médecin";"Anequin";;;"Inconnue";"médecin";"M";;;;;1
2545;"Peret de la Grane";"Peret de la Grane";;;"Inconnue";;"M";;;;;1
2546;"Raoul de Blonay";"Raoul de Blonay";;;"Inconnue";;"M";;;;;1
2547;"Taboret chambrier de Bonne de Savoie ou Jeanne";"Taboret";;;"Inconnue";"chambrier";"M";;;;"demoiselles de savoie";1
2548;"Héritier d'Andréee Belletruche";;;;"Inconnue";;"M";;;;;1
2549;"Aymé de Bourg pelletier";"Aymé";;;"Inconnue";"pelletier";"M";"Bourg en Bresse";;;;1
2550;"Guillaume filiastre de Texin Berlte";"Guillaume";;;"Inconnue";;"M";;;;;1
2551;"solliard de Bonne de Bourbon";;;;"Inconnue";"solliard";"M";;;;"Bonne de Bourbon";1
2552;"Ardiczon de Bosco apotiquaire";"Ardiczon de Bosco";;;"Inconnue";"apotiquaire";"M";;;;;1
2553;"Pierre Brassier couturier de Chambéry";"Pierre Brassier";;;"Inconnue";"couturier";"M";;;;;1
2554;"valet  d'humbert le bâtard d'Amédée VII";;;;"Inconnue";;"M";;;;"7";1
2555;"Jacob de Contamine secrétaire d'Amédée VIII";"Jacob de Comtamine";;;"Inconnue";"secrétaire";"M";;;;"8";1
2556;"Johannette de Liège";"Johannette de Liège";;;"Inconnue";;"F";;;"peut être la fille de Johan de Liège";;1
2557;"chambrier de Cathrine fille de Quart";;;;"Inconnue";"Chambrier";"M";;;;"catherine fille de Quart";1
2558;"Guillaume moine d'Hautecombe";"Guillaume";;;"Inconnue";"religieux";"M";;;;;1
2559;"Antoine palfrenier de Bonne de Bourbon";"Antoine";;;"Inconnue";;"M";;;;"Bonne de Bourbon";1
2560;"Louis de Loyer";"Louis de Loyer";;;"Inconnue";;"M";;;;;1
2561;"Johan Belletruche";"Johan Belletruche";;;"Inconnue";;"M";;;;;1
2562;"Trompete d'Amédée VIII";;;;"Inconnue";"trompette";"M";;;;;1
2563;"Pierre de Mâcon dit Bossu de Corgeron";"Pierre de Mâcon";"Bossu de Corgeron";;"Inconnue";;"M";;;;;1
2564;"Grand Johan valet des aquiné d'Amédée VIII";"Grand Johan";;;"Inconnue";"valet des chevaux";"M";;;;;1
2565;"Pelletier";;;;"Inconnue";"pelletier";"M";;;;;1
2566;"Nicolet solliard de Cuisine d'Amédée VIII";"Nicolet";;;"Inconnue";"solliard";"M";;;;;1
2567;"François Romavel répétiteur d'Amédée VIII";"François Romavel";;;"Inconnue";"répétiteur";"M";;;;"8";1
2568;"Janin chavence mercier";"Janin Chavence";;;"Inconnue";"mercier";"M";;;;;1
2569;"Girard Chambon";"Girard Chambon";;;"Inconnue";;"M";;;;;1
2570;"Jeanne femme d'Antoine de Sallenove nourice jeanne";"Jeanne";;;"Inconnue";"nourice";"F";;;;"jeanne de savoie";1
2572;"Chambrière de Bonne de Savoie";;;;"Inconnue";"chambrier";"F";;;;;1
2573;"chambrière de Jeanne de savoie";;;;"Inconnue";"chambrière";"F";;;;;1
2574;"Adam chambrier des demoiselles de Savoie";"Adam";;;"Inconnue";"chambrier";"M";;;;;1
2576;"Ganguillona couturière";"Ganguillona";;;"Inconnue";"couturier";"F";;;;;1
2577;"Johan Argilli ménèstrel de Viole d'Amédée VIII";"Johan Argilli";;;"Inconnue";"ménèstrèl";"M";;;;"8";1
2578;"Lancement oiselleur d'Amédée VIII";"Lancement";;;"Inconnue";"oiselleur";"M";;;;"8";1
2579;"Page d'Amédée VIII";;;;"Inconnue";"page";"M";;;;;1
2580;"chevalier d'Aragon";;;;"Inconnue";"chevalier";"M";;;;;1
2582;"Vestie";;;;"Inconnue";;"M";;;;;1
2583;"Philippe de Savoie";"Philippe de Savoie";;;"Inconnue";;"M";;;;;0
2584;"Serata";"Serata";;;"Inconnue";;"M";;;;;1
2585;"Ogier le bâtard";"Ogier le bâtard";;;"Inconnue";;"M";;;;;1
2586;"Briort valet d'Antoine maillet";;;;"Inconnue";;"M";;;;;1
2587;"le dit Potier de Chambéry";;;;"Inconnue";;"M";;;;;1
2588;"François Coper le couturier";"François Coper";;;"Inconnue";;"M";;;;;1
2589;"Pape d'Avignon";;;;"Inconnue";;"M";;;;;1
2590;"seigneur de seyselle";;;;"Inconnue";;"M";;;;;1
2591;"Simond le Trompette";;;;"Inconnue";;"M";;;;;1
2592;"Dauphin";;;;"Inconnue";;"M";;;;;1
2593;"roi des merciers";;;;"Inconnue";;"M";;;;;1
2594;"La Guigoise";"La Guigoise";;;"Inconnue";;"M";;;;;1
2595;"Gille d'Arlo";"Gille d'Arlo";;;"Inconnue";;"M";;;;;1
2596;"Johan Huyset de Bellicio";"Johan Huyset de Bellicio";;;"Inconnue";;"M";;;;;1
2597;"Querlin apothicaire de Lausanne";"Querlin";;;"Inconnue";;"M";;;;;1
2598;"duc de Gênes";;;;"Inconnue";;"M";;;;;1
2599;"Pierre de Tyondi";"Pierre de Tyondi";;;"Inconnue";;"M";;;;;1
2600;"Antoine Bonivard";"Antoine Bonivard";;;"Inconnue";;"M";;;;;1
2601;"Johan Girod";"Johan Girod";;;"Inconnue";;"M";;;;;1
2602;"Simond de brener";"Simond de brener";;;"Inconnue";;"M";;;;;1
2603;"prieur de Saint-Innocent";;;;"Inconnue";;"M";;;;;1
2604;"Rouge le pelletier";"rouge";;;"Inconnue";;"M";;;;;1
2605;"Johan Marchand";"Johan Marchand";;;"Inconnue";;"M";;;;;1
2606;"Angelin de Polentra";"Angelin de Polentra";;;"Inconnue";;"M";;;;;1
2607;"Pierre Giraud de Montfalcon";"Pierre Giraud de Montfalcon";;;"Inconnue";;"M";;;;;1
2608;"ménèstrel de harpe";;;;"Inconnue";;"M";;;;;1
2609;"Guillaume de Berga";"Guillaume de Berga";;;"Inconnue";;"M";;;;;1
2610;"Johan de Beyne";"Johan de Beyne";;;"Inconnue";;"M";;;;;1
2611;"Joffrey de la Palude";"Joffrey de la Palude";;;"Inconnue";;"M";;;;;1
2612;"Ensermi de Reissia pêcheur";"Ensermi de Reissia";;;"Inconnue";;"M";;;;;1
2613;"conétable de France";"conétable de France";;;"Inconnue";;"M";;;;;1
2614;"Johan de l'épée";"Johan de l'épée";;;"Inconnue";;"M";;;;;1
2615;"Hugo de Chalon";"Hugo de Chalon";;;"Inconnue";;"M";;;;;1
2616;"Olivier de Claquin";"Olivier de Claquin";;;"Inconnue";;"M";;;;;1
2617;"Montbelliard";"Montbelliard";;;"Inconnue";;"M";;;;;1
2618;"seigneur de Villejuif";"seigneur de Villejuif";;;"Inconnue";;"M";;;;;1
2619;"abbesse des minorette de Chambéry";;;;"Inconnue";;"M";;;;;1
2620;"dame d'Armagnac";;;;"Inconnue";;"M";;;;;1
2621;"Bon de Verland";"Bon de Verland";;;"Inconnue";;"M";;;;;1
2622;"Seigneur de la Chambre";;;;"Inconnue";;"M";;;;;1
2624;"Johan Guillaume";"Johan Guillaume";;;"Inconnue";;"M";;;;;1
2625;"Sansimo de Loans";"Sansimo de Loans";;;"Inconnue";;"M";;;;;1
2626;"Humbert d'Arvilar";"Humbert d'Arvilar";;;"Inconnue";;"M";;;;;1
2627;"Guichard le panetier";"Guichard";;;"Inconnue";;"M";;;"peut être guillaume le panetier";;1
2628;"Comte de Tende";;;;"Inconnue";;"M";;;;;1
2629;"seigneur de la Vilette";;;;"Inconnue";;"M";;;;;1
2630;"Bertholet Rate";"Bertholet Rate";;;"Inconnue";;"M";;;;;1
2631;"le dit Gallois";"le dit Gallois";;;"Inconnue";;"M";;;;;1
2632;"Texin Berlte";"Texin Berlte";;;"Inconnue";;"M";;;;;1
2634;"trompette de Chatillon";"trompette de Chatillon";;;"Inconnue";;"M";;;;;1
2635;"Antoine de Challant";"Antoine de Challant";;;"Inconnue";;"M";;;;;1
2636;"Comtesse de Genève";"Comtesse de Genève";;;"Inconnue";;"F";;;;;1
2637;"Princesse d'Achaïe";;;;"Inconnue";;"F";;;;;1
2638;"Johan Rola de Ontisa";"Johan Rola de Ontisa";;;"Inconnue";;"M";;;;;1
2639;"Antoine de Montfalcon";"Antoine de Montfalcon";;;"Inconnue";;"M";;;;;1
2640;"Jacob Bonivard";"Jacob Bonivard";;;"Inconnue";;"M";;;;;1
2641;"Jacquet Blondel messager d'Amédée VIII";"Jacquet Blondel";;;"Inconnue";;"M";;;;;1
2642;"Perret messager d'Amédée VIII";"Perret";;;"Inconnue";;"M";;;;;1
2643;" Baudoin de la Grange écuyer d'Amédée VIII";"Branden de la Grange";;;"Inconnue";;"M";;;;;1
2644;"Guy Raton écuyer d'Amédée VIII";"Guy Raton";;;"Inconnue";;"M";;;;;1
2645;"Johan Grinel messager d'Amédée VIII";"Johan Grinel";;;"Inconnue";;"M";;;;;1
2647;"Johan Prusel chambrier de b. et J. de Savoie";"Johan Prusel";;;"Inconnue";;"M";;;"peut être bruxelle";;1
2648;"Hugonin Troillet";"Hugonin Troillet";;;"Inconnue";;"M";;;;;1
2649;"Jérome Balard conseiller d'Amédée VIII";"Jérome Balard";;;"Inconnue";;"M";;;;;1
2650;"Hudriset de la Balme écuyer d'Amédée VIII";"Hudrisset de la Balmes";;;"Inconnue";;"M";;;;;1
2651;"Antoine de Monteolo conseiller d'Amédée VIII";"Antoine de Monteolo";;;"Inconnue";;"M";;;;;1
2652;"Pierre de Villeneuve écuyer d'Amedée VIII";"Pierre de Villeneuve";;;"Inconnue";;"M";;;;;1
2653;"Ponet Canet de Saint-Truitio";"Ponet Canet";;;"Inconnue";;"M";;;;;1
2654;"le dit Borges";"Borges";"Borges";;"Inconnue";;"M";;;;;1
2655;"Johan Rolly";"Johan Rolly";;;"Inconnue";;"M";;;;;1
2657;"Philippe de Brener conseiller d'Amédée VIII";"Philippe de Brener";;;"Inconnue";;"M";;;;;1
2658;"Ludovic de Lentenly écuyer d'Amédée VIII";"Ludovic de Lentenly";;;"Inconnue";;"M";;;;;1
2659;"femme d'Anequin le pelletier";;;;"Inconnue";;"F";;;;;1
2660;"Johan Blanc valet de chambre d'Amédée VIII";"Johan Blanc";;;"Inconnue";;"M";;;;;1
2661;"Baudien écuyer d'Amédée VIII";"Baudien";;;"Inconnue";;"M";;;;;1
2662;"François Compais écuyer d'Amédée VIII";"François Compais";;;"Inconnue";;"M";;;;;1
2663;"Andrenette femme de Pierre Blondet";"Andrenette";;;"Inconnue";;"F";;;;;1
2664;"Pierre Burle conseiller d'Amédée VIII";"Pierre Burle";;;"Inconnue";;"M";;;;;1
2665;"Poutanier drapier de Bourg-en-Bresse";"Poutanier";;;"Inconnue";;"M";;;;;1
2666;"Johan Simoneta lieutenant de Bourg en Bresse";"Johan Simoneta";;;"Inconnue";;"M";;;;;1
2667;"Seigneur de Montpancier";;;;"Inconnue";;"M";;;;;1
2668;"valet de Johan le fauconier d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2669;"Richard mercier de Bourg en Bresse";"Richard";;;"Inconnue";;"M";;;;;1
2672;"Johan de Briter";"Johan de Briter";;;"Inconnue";;"M";;;;;1
2673;"Rostagne de Beire écuyer d'amédée VIII";"Rostagne de Beire";;;"Inconnue";;"M";;;;;1
2674;"Pierre de Cuysel écuyer d'Amédée VIII";"Pierre de Cuysel";;;"Inconnue";;"M";;;;;1
2675;"Rodolphe de Gruyère";"Rodolphe de Gruyère";;;"Inconnue";;"M";;;;;1
2676;"Guillaume Borrater conseiller d'amédée VIII";"Guillaume Borrater";;;"Inconnue";;"M";;;;;1
2677;"Philibert de Pierre couturier de Lyon";"Philibert de Pierre";;;"Inconnue";;"M";;;;;1
2678;"dame de Vellins";;;;"Inconnue";;"F";;;;;1
2679;"Rochefort";"Rochefort";;;"Inconnue";;"M";;;;;1
2680;"Guichard de Moncio de Bourg en Bresse";"Guichard de Moncio";;;"Inconnue";;"M";;;;;1
2681;"Pierre de Fonte écuyer de Bonne de Savoie";"Pierre de Fonte";;;"Inconnue";;"M";;;;;1
2682;"Lovat chambrier d'Amédée VIII";"Lovat";;;"Inconnue";;"M";;;"peut être lovat valet de Luquin de Saluce et le lovat";;1
2683;"Pierre de Gort dit Normand drapier de chatillon";"Pierre de Gort";;;"Inconnue";;"M";;;;;1
2684;"Gataselon mercier de Chatillon en dombes";"Gataselon";;;"Inconnue";;"M";;;;;1
2685;"Chrispin Terdi tailleur de Lyon";"Chrispin Terdi";;;"Inconnue";;"M";;;;;1
2686;"Henri Flagellet bourgeois drapier de Chat. Dombes";"Henri Flagellet";;;"Inconnue";;"M";;;;;1
2687;"Claude de Challes";"Claude de Challes";;;"Inconnue";;"M";;;;;1
2688;"Mombryon";;;;"Inconnue";;"M";;;;;1
2689;"Michellet Pouchon drapier de Lyon";"Michellet Pouchon";;;"Inconnue";;"M";;;;;1
2690;"Johan Chenvrier";"Johan chenvrier";;;"Inconnue";;"M";;;;;1
2691;"Pierre de Loyes chambrier d'Odon de Villard";"Pierre de Loyes";;;"Inconnue";;"M";;;;;1
2692;"Philibert tondeur de Lyon";"Philibert";;;"Inconnue";;"M";;;;;1
2693;"Simond Gast de Query lombard";"Simond de Gast";;;"Inconnue";;"M";;;"peut être Simond gast marchand d'Avignon";;1
2694;"Etiennette Canete couturère de Lyon";"Etienne Canete";;;"Inconnue";;"M";;;;;1
2695;"André le gantier de Lyon";"André";;;"Inconnue";;"M";;;;;1
2696;"Edmond de Quiez";"Edmond";;;"Inconnue";;"M";;;;;1
2697;"Gamain dorier de Lion";"Gamain";;;"Inconnue";;"M";;;;;1
2698;"Philibert Melin";"Philibert Melin";;;"Inconnue";;"M";;;;;1
2699;"Aymé Aynard";"Aymé Aynard";;;"Inconnue";;"M";;;;;1
2700;"Guy de Conflens";"Guy de Conflens";;;"Inconnue";;"M";;;;;1
2701;"Pierre de Castronovo mercier";"Pierre de Castronovo";;;"Inconnue";;"M";;;;;1
2702;"Pierre valet de la porte d'Amédée VIII";"Pierre";;;"Inconnue";;"M";;;;;1
2704;"Catherine mercière de Lyon";"Catherine";;;"Inconnue";;"M";;;;;1
2705;"George de Submont écuyer d'Amédée VIII";"George de Submont";;;"Inconnue";;"M";;;;;1
2706;"Humbert Barrer";"Humbert Barrer";;;"Inconnue";;"M";;;;;1
2707;"Guichard de Morter drapier de Bourg-en-Bresse";"Guichard de Morter";;;"Inconnue";;"M";;;;;1
2708;"Claude de Varey drapier de Lyon";"Claude de Varey";;;"Inconnue";;"M";;;;;1
2709;"Guigone d'Aspremont";"Guigone d'Aspremont";;;"Inconnue";;"F";;;;;1
2710;"femme de l'hôtel de Bonne de savoie";;;;"Inconnue";;"F";;;;;1
2711;"femme de l'hôtel de Jeanne de Savoie";;;;"Inconnue";;"F";;;;;1
2712;"Guillaume de Genost écuyer d'Amédée VIII";"Guillaume de Genost";;;"Inconnue";;"M";;;;;1
2713;"chambrier d'amédée VIII";;;;"Inconnue";;"M";;;;;1
2714;"valet d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2715;"serviteur d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2716;"Jacquemet Pol";"Jacquemet Pol";;;"Inconnue";;"M";;;;;1
2717;"Johan Bourgeois chapelain de Bs et Js";"Johan Bourgeois";;;"Inconnue";;"M";;;;;1
2718;"Johan de Mauchier écuyer d'Amédée VIII";"Johan de Mauchier";;;"Inconnue";;"M";;;;;1
2719;"Pierre Bollier secrétaire d'Amédée VIII";"Pierre Bolier";;;"Inconnue";;"M";;;;;1
2720;"François de Lantenay";"François de Lantenay";;;"Inconnue";;"M";;;;;1
2721;"Henri de Villet dit Charbucle écuyer d'A8";"Henri de Villet";;;"Inconnue";;"M";;;;;1
2722;"officier d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2723;"Jacquemet de la Fontaine secrétaire d'Amédée 8";"Jacquemet de la Fontaine";;;"Inconnue";;"M";;;;;1
2724;"Fauconnier d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2725;"Dyn d'Annemasse maître d'apprendre de 8";"Dyn d'Annemasse";;;"Inconnue";;"M";;;;;1
2726;"Johan de Filleu maître d'hôtel d'Amédée VIII";"Johan de Filleu";;;"Inconnue";;"M";;;;;1
2727;"Johan de Conflens chancellier de Savoie";"Johan de Conflens";;;"Inconnue";;"M";;;;;1
2728;"André de Saint-Amour";"André de Saint-Amour";;;"Inconnue";;"M";;;;;1
2729;"Jacques Sofrion conseiller d'Amédée VIII";"Jacques Sofrion";;;"Inconnue";;"M";;;;;1
2730;"Guigue Gerbais";"Guigue Gerbais";;;"Inconnue";;"M";;;;;1
2731;"Philibert le giponier de Lyon";"Philibert";;;"Inconnue";;"M";;;;;1
2732;" Michelet de Getz brodeur de Lyon";"Michelet";;;"Inconnue";;"M";;;;;1
2733;"Jacquet brodeur de Lyon";"Jacquet";;;"Inconnue";;"M";;;"est jacquemet de Getz";;1
2734;"François Robin escoffier de Lyon";"François Robin";;;"Inconnue";;"M";;;;;1
2736;"Johan de Sainte-Catherine mercier";"Johan de Sainte-Catherine";;;"Inconnue";;"M";;;;;1
2737;"Guichard mercier de Bourg-en-Bresse";"Guichard";;;"Inconnue";;"M";;;;;1
2738;"Johan Mantillernier alias garnier drapier de BEB";"Johan Mantillernier";"Garnier";;"Inconnue";;"M";;;;;1
2739;"Johan barbier d'Amédée VIII";"Johan";;;"Inconnue";;"M";;;;;1
2740;"Pierre d'Avignon escoffier de bourg-en-bresse";;;;"Inconnue";;"M";;;;;1
2741;"Duret escoffier de Bourg-en-Bresse";"Duret";;;"Inconnue";;"M";;;;;1
2742;"Pasquelin valet de chambre d'Amédée VIII";"Pasquelin";;;"Inconnue";;"M";;;;;1
2743;"Pierre Domper apothicaire d'Amédée VIII";"Pierre Domper";;;"Inconnue";;"M";;;;;1
2744;"Guillemette couturière de Bourg-en-Bresse";"Guillemette";;;"Inconnue";;"M";;;;;1
2745;"Colin pelletier de Bourg-en-Bresse";"Colin";;;"Inconnue";;"M";;;;;1
2746;"Pierre valet de Bouteillerie d'Amédée VIII";"Pierre";;;"Inconnue";;"M";;;;;1
2747;"Guillaume Porrat dorier de Bourg-en-Bresse";"Guillaume Porrat";;;"Inconnue";;"M";;;;;1
2748;"Pierre de Sacognyn écuyer d'Amédée VIII";"Pierre de Sacognyn";;;"Inconnue";;"M";;;;;1
2749;"Burquin valet de Cuisine d'Amédéé VIII";"Burquin";;;"Inconnue";;"M";;;;;1
2750;"Johan de Malines dit Chievra valet de l'hôtel 8";"Johan de Malines";"Chievra";;"Inconnue";;"M";;;;;1
2751;"Jeanne chambrière de Bonne et jeanne de Savoie";"Jeanne";;;"Inconnue";;"F";;;;;1
2752;"Marthe chambrière de Bonne et jeanne de Savoie";"Marthe";;;"Inconnue";;"F";;;;;1
2753;"Janin escoffier de Bour-en-Bresse";"Janin";;;"Inconnue";;"M";;;;;1
2755;"Cerdon maître de Cuisine d'Amédée VIII";"Cerdon";"Cerdon";;"Inconnue";;"M";;;;;1
2756;"Johan Couturier drapier de Bourg-en-Bresse";"Johan Couturier";;;"Inconnue";;"M";;;;;1
2757;"Montbuyron page d'Amédée VIII";"Montbuyron";;;"Inconnue";;"M";;;;;1
2758;"Denis de Divone mercier";"Denis de Divone";;;"Inconnue";;"M";;;;;1
2759;"Cado valet de Peronet Ulier barbier d'amédée VII";"Cado";;;"Inconnue";;"M";;;;;1
2760;"Joffrey trompette d'Oddon de Villard";"Joffrey";;;"Inconnue";;"M";;;;;1
2761;"Johan Tetu drapier de Bourg-en-Bresse";"Johan Tetu";;;"Inconnue";;"M";;;;;1
2762;"François sellier de Lyon";"François";;;"Inconnue";;"M";;;;;1
2763;"François escoffier";"François";;;"Inconnue";;"M";;;;;1
2764;"Pasquelin valet des chevaux d'Amédée VIII";"Pasquelin";;;"Inconnue";;"M";;;;;1
2765;"Amédée Macet écuyer d'Amédée VIII";"Amédée Macet";;;"Inconnue";;"M";;;;;1
2766;"Bénédictole mercier de Mâcon";"Bénédictole";;;"Inconnue";;"M";;;;;1
2767;"Johan de Genaz tondeur de Bourg-en-Bresse";"Johan de Genaz";;;"Inconnue";;"M";;;;;1
2768;"Dermosi de Valle Grimosa";"Dermosi de Valle Grimosa";;;"Inconnue";;"M";;;;;1
2769;"Pierre familier de Janin tailleur d'Amédée VIII";"Pierre";;;"Inconnue";;"M";;;;;1
2770;"Pierre Crochat pelletier de Bourg-en-Bresse";"Pierre Crochat";;;"Inconnue";;"M";;;;;1
2771;"Johan d'Avanchier écuyer d'Amédée VIII";"Johan avanchier";;;"Inconnue";;"M";;;;;1
2772;"Lanfant escoffier de Bourg-en-Bresse";"Lanfant";"Lanfant";;"Inconnue";;"M";;;;;1
2773;"Johan Vignard apothicaire de Bourg-en-Bresse";"Johan Vignard";;;"Inconnue";;"M";;;;;1
2774;"Jeanne femme Janin tailleur d'Amédée VII";"jeanne";;;"Inconnue";;"F";;;;;1
2776;"Montméliant persequenti de Savoie";"Montméliant";;;"Inconnue";;"M";;;;;1
2777;"Janin valet de cuisine de Bonne et jeanne de Savoi";"Janin";;;"Inconnue";;"M";;;;;1
2778;"Pierre de Baugié escoffier de Bourg-en-Bresse";"Pierre de Bagié";;;"Inconnue";;"M";;;;;1
2779;"Hans fauconier de l'impératrice";"Hans";;;"Inconnue";;"M";;;;;1
2780;"Impératrice des romains";;;;"Inconnue";;"F";;;;;1
2781;"Viagio Damionis";"Viagio Damionis";;;"Inconnue";;"M";;;;;1
2782;"Robinet de Ploye";"Robinet de Ploye";;;"Inconnue";;"M";;;;;1
2783;"gens d'Odon de Villard";;;;"Inconnue";;"M";;;;;1
2784;"Antoine de la Barme";"Antoine de la Barme";;;"Inconnue";;"M";;;;;1
2785;"Johan Morestain chapelain d'Amédée VIII";"Johan Morestan";;;"Inconnue";;"M";;;;;1
2786;"Johan Du Fort";"Johan du Fort";;;"Inconnue";;"M";;;;;1
2788;"Giraud de Tury conseiller d'Amédée VIII";"Giraud Tury";;;"Inconnue";;"M";;;;;1
2789;"Tiessot concierge du petit hôtel de savoie à Paris";"Tiessot";;;"Inconnue";;"M";;;;;1
2790;"Nicolat Johan concièrge du grand hôtel de savoie";"Nicolas Johan";;;"Inconnue";;"M";;;;;1
2792;"François de Compain drapier de Paris";"François de Compain";;;"Inconnue";;"M";;;"peut être françois compey ou françois de Compey et frixet compais";;1
2793;"Jocerand Freppier";"Jocerand Freppier";;;"Inconnue";;"M";;;;;1
2794;"Bertrand Melin clerc des dépenses d'Amédée VIII";"Bertrand Melin";;;"Inconnue";;"M";;;;;1
2795;"cuisinier d'ambassage";"Pierre Pugnin";;;"Inconnue";;"M";;;;;1
2796;"Pierre du Nou pelletier de Paris";"Pierre du Nou";;;"Inconnue";;"M";;;;;1
2797;"Pierre Pugnin";"Pierre Pugnin";;;"Inconnue";;"M";;;;;1
2798;"Pierre Potier pelletier de Paris";"Pierre Potier";;;"Inconnue";;"M";;;;;1
2799;"Johan Thomy hoste du Peteil de Paris";"Johan Thomy";;;"Inconnue";;"M";;;;;1
2800;"Philippotte mercière de Paris";"Philippotte";;;"Inconnue";;"F";;;;;1
2801;"Girardin Herode couturier de Paris";"Girardin Herode";;;"Inconnue";;"M";;;;;1
2802;"jazcon le fourreur de Paris";"Jaczon";;;"Inconnue";;"M";;;;;1
2803;"Pierre Poyssat couturier";;;;"Inconnue";;"M";;;;;1
2804;"Hugonin Rudat drapier de Bourg-en-Bresse";"Hugonin Rudat";;;"Inconnue";;"M";;;;;1
2805;"Morix de Villon dit de Chablais";"Morix de Villon";;;"Inconnue";;"M";;;;;1
2806;"Pierre chambrier d'Odon de villars";"Pierre";;;"Inconnue";;"M";;;;;1
2807;"Chevalier 8";;;;"Inconnue";;"M";;;;;1
2808;"écuyer d'Amédée VIII";;;;"Inconnue";;"M";;;;;1
2809;"secrétaire 8";;;;"Inconnue";;"M";;;;;1
2810;"Guillaume de Foyssi marchand de Chalon";"Guillaume de Soyssi";;;"Inconnue";;"M";;;;;1
2811;"Aymé  Ayruard";"Aymé Ayruard";;;"Inconnue";;"M";;;;;1
2812;"Antoine Chussaing juge de Bresse";"Antoine Chussaing";;;"Inconnue";;"M";;;;;1
2813;"Guillaume Boudot";"Guillaume Boudot";;;"Inconnue";;"M";;;;;1
2814;"Johan Bequent drapier de Mâcon";"Johan Baquent";;;"Inconnue";;"M";;;;;1
2815;"femme de jaquemet Pol";;;;"Inconnue";;"F";;;;;1
2816;"Bernard braconnier d'Amédée VIII";"Bernard";;;"Inconnue";;"M";;;;;1
2817;"Anequin de Cologne veneur d'Amédée VIII";"Anequin de Cologne";;;"Inconnue";;"M";;;;;1
2818;"Johan Pillard mercier de Dijon";"Johan Pillard";;;"Inconnue";;"M";;;;;1
2819;"François de Bussie écuyer d'Amédée VIII";"François de Bussie";;;"Inconnue";;"M";;;"ou Buxi";;1
2820;"Humbert de Salamard";"Humbert de Salamard";;;"Inconnue";;"M";;;;;1
2821;"François de Montgrand";"François de Montgrand";;;"Inconnue";;"M";;;;;1
2822;"philibert de Briord";"Phuilibert de briord";;;"Inconnue";;"M";;;;;1
2823;"Morellet écuyer d'Odon de Villars";"Morellet";;;"Inconnue";;"M";;;;;1
2824;"Johan Morel";"Johan Morel";;;"Inconnue";;"M";;;"voir morellet ou morelet";;1
2825;"Guillaume cuisinier d'Amédée VIII";"Guillaume";;;"Inconnue";;"M";;;;;1
2826;"Guiffred de raimpon";"Guiffred de Rainpon";;;"Inconnue";;"M";;;;;1
2827;"Guichard de Foye";"Guichard de Foye";;;"Inconnue";;"M";;;;;1
2828;"Pierre garnier armurier de Paris";"Pierre garnier";;;"Inconnue";;"M";;;;;1
2829;"Guillaume de Corgeron seigneur de Chamont";;;;"Inconnue";;"M";;;;;1
2830;"Humbert de Rino secrétaire d'Amédée VIII";"Humbert de Rino";;;"Inconnue";;"M";;;;;1
2832;"Alaisie femme du dit bout messager d'A 8";"Alaisie";;;"Inconnue";;"F";;;;;1
2833;"Philippe Cotunes concièrge de l'hôtel 8 Lyon";"Philippe Cotunes";;;"Inconnue";;"M";;;;;1
2834;"Jacob Sostion conseillé d'Amédée VIII";"Jacob Sostion";;;"Inconnue";;"M";;;;;1
2835;"Henri de Colomb écuyer d'Amédée VIII";"Henri de Colomb";;;"Inconnue";;"M";;;;;1
2836;"Johan Rocamaure secrétaire d'Amédée VIII";"Johan Rocamaure";;;"Inconnue";;"M";;;;;1
